Country,Code,Year,Population
Kenya,KEN,2000,30508000
Kiribati,KIR,2000,91985
Kuwait,KWT,2000,1973572
Kyrgyzstan,KGZ,2000,4851054
Laos,LAO,2000,5497733
Latvia,LVA,2000,2376178
Lebanon,LBN,2000,3581000
Lesotho,LSO,2000,2068000
Liberia,LBR,2000,2695000
Libya,LBY,2000,5115450
Liechtenstein,LIE,2000,32204
Lithuania,LTU,2000,3654387
Luxembourg,LUX,2000,438777
Madagascar,MDG,2000,15742000
Malawi,MWI,2000,11560000
Malaysia,MYS,2000,21804000
Maldives,MDV,2000,300000
Mali,MLI,2000,10049000
Malta,MLT,2000,389947
Marshall Islands,MHL,2000,53064
Mauritania,MRT,2000,2501000
Mauritius,MUS,2000,1186000
Mexico,MEX,2000,99926620
Micronesia (country),FSM,2000,107754
Moldova,MDA,2000,4430654
Monaco,MCO,2000,31693
Mongolia,MNG,2000,2664000
Montenegro,MNE,2000,732302
Morocco,MAR,2000,30184000
Mozambique,MOZ,2000,18125000
Myanmar,MMR,2000,44301000
Namibia,NAM,2000,1893000
Nauru,NRU,2000,11845
Nepal,NPL,2000,24818000
Netherlands,NLD,2000,15907853
New Zealand,NZL,2000,3802000
Nicaragua,NIC,2000,4935000
Niger,NER,2000,10951000
Nigeria,NGA,2000,123179000
North Korea,PRK,2000,21263000
North Macedonia,MKD,2000,2014512
Norway,NOR,2000,4492400
Oman,OMN,2000,2534000
Pakistan,PAK,2000,146405000
Palau,PLW,2000,18766
Panama,PAN,2000,2900000
Papua New Guinea,PNG,2000,4934000
Paraguay,PRY,2000,5592000
Peru,PER,2000,26087000
Philippines,PHL,2000,81222000
Poland,POL,2000,38654164
Portugal,PRT,2000,10335597
Qatar,QAT,2000,627000
Romania,ROU,2000,22451921
Russia,RUS,2000,146710000
Rwanda,RWA,2000,8278000
Saint Kitts and Nevis,KNA,2000,38819
Saint Lucia,LCA,2000,153000
Saint Vincent and the Grenadines,VCT,2000,108000
Samoa,WSM,2000,197000
San Marino,SMR,2000,26937
Sao Tome and Principe,STP,2000,159883
Saudi Arabia,SAU,2000,23147000
Senegal,SEN,2000,10678000
Serbia,SRB,2000,10117908
Seychelles,SYC,2000,79326
Sierra Leone,SLE,2000,4816000
Singapore,SGP,2000,4036753
Slovakia,SVK,2000,5400320
Slovenia,SVN,2000,2010557
Solomon Islands,SLB,2000,466194
Somalia,SOM,2000,7386000
South Africa,ZAF,2000,45064000
South Korea,KOR,2000,46839000
Spain,ESP,2000,40016081
Sri Lanka,LKA,2000,19436000
Suriname,SUR,2000,432000
Sweden,SWE,2000,8872000
Switzerland,CHE,2000,7266920
Syria,SYR,2000,16305659
Tajikistan,TJK,2000,6230000
Tanzania,TZA,2000,33712000
Thailand,THA,2000,61862928
Timor,TLS,2000,846599
Togo,TGO,2000,4711655
Tonga,TON,2000,102321
Trinidad and Tobago,TTO,2000,1252000
Tunisia,TUN,2000,9568000
Turkey,TUR,2000,67329000
Turkmenistan,TKM,2000,4385000
Tuvalu,TUV,2000,10838
Uganda,UGA,2000,23956000
Ukraine,UKR,2000,49007559
United Arab Emirates,ARE,2000,3219000
United Kingdom,GBR,2000,59522468
United States,USA,2000,282158000
Uruguay,URY,2000,3328000
Uzbekistan,UZB,2000,25042000
Vanuatu,VUT,2000,189618
Venezuela,VEN,2000,23493000
Vietnam,VNM,2000,79060410
Yemen,YEM,2000,17495000
Zambia,ZMB,2000,10205000
Zimbabwe,ZWE,2000,11820000
